Code Size (B),Execution Time (µs),Memory Usage (KB)
3054,2043,26208
11209,19577,31104
87,487,23904
5459,8961,28224
1426,650,24192
2933,2906,26784
15079,30096,33696
567,434,24192
87,278,24480
269,329,24768
1235,653,24192
787,1460,24768
1018,543,24768
4748,6039,27648
745,427,24768
2498,1791,26208
612,403,24192
1276,1561,25632
2568,3519,26784
1717,1851,25920
851,986,24768
437,431,24480
543,375,24192
6887,18293,29952
2645,6091,27648
1371,1030,25632
733,647,25632
338,329,23904
395,319,24480
597,393,24192
145,663,24192
1872,1302,25344
268,978,25920
1520,2064,25920
1316,1369,25632
335,392,24480
694,575,24192
344,554,23904
1154,1475,26208
1020,564,24192
87,268,24192
879,861,24480
1890,1497,25344
845,1138,25632
2521,3090,26496
4783,6571,28224
2515,2307,26496
6209,8460,28800
2863,3992,27648
4195,8293,28224
4782,6386,28224
2017,1616,25344
2801,5494,27648
1314,1390,25056
2113,2605,25632
3838,3591,26784
3125,3380,26208
1995,3089,25344
87,238,24192
902,1383,25920
2225,4897,27360
7748,14435,30240
3619,6351,27936
557,365,24480
412,1043,25632
3182,4922,27936
4069,10513,28224
2122,925,24768
3111,5932,27936
1065,1217,25920
1091,625,25056
5648,18624,29376
10286,16901,29952
5942,6482,28512
35226,60690,40320
419,462,24480
1740,719,25056
1386,1377,25344
3921,7872,28800
2244,3099,25920
3651,10170,27936
732,1690,25632
669,586,24480
87,226,23904
918,545,24768
4130,7702,27360
527,406,24192
808,1719,25920
4509,7485,28224
4495,5792,27648
15714,21780,32256
3345,7189,28512
8063,12767,29088
717,408,24480
3614,5487,28224
486,434,24192
1496,625,24768
12356,22491,31968
5317,4441,27360
6333,9642,28512
2467,2584,26208
826,991,25632
1234,967,24192
432,439,24768
2950,6705,27648
1900,2359,26208
4732,3356,26784
2692,3854,27360
2402,6592,27648
2212,2410,26208
2936,8950,28800
2738,2508,26496
849,1078,25344
6843,10597,28224
764,1513,25344
2665,6124,27360
2739,3844,26496
356,393,24192
7475,14047,29952
2471,2534,25920
2735,3289,27360
5054,13080,29376
1380,1987,26208
14279,28708,34272
520,1507,26208
568,1087,25920
1597,756,24480
1583,4138,27360
1412,2479,25920
2881,4815,27360
1814,679,24480
169,276,24192
955,1283,25632
1584,1860,26208
908,1331,25920
8834,12515,29376
958,787,24480
1994,1269,25632
1345,2449,25632
1059,1599,25920
4339,6546,27648
429,1692,24480
1758,1835,26208
4720,6265,27648
583,1340,25056
21867,41651,36288
3957,5769,28800
4093,3558,27072
3055,12166,27360
1203,531,24192
415,478,24768
